705372010557,1AN1055,"ANNIE FOAM ROLLER PINK JB 1 1/2"""" (12)",0.89
705372010618,1AN1061,"ANNIE FOAM ROLLER BLK S 5/8""""",0.89
705372010625,1AN1062,"ANNIE FOAM ROLLER BLK M 7/8"""" (12)",0.89
705372010632,1AN1063,"ANNIE FOAM ROLLER BLK L 1""""",0.89
705372010649,1AN1064,"ANNIE FOAM ROLLER BLK XL 1 1/4"""" (12)",0.89
705372010656,1AN1065,"ANNIE FOAM ROLLER BLK JB 1 1/2"""" (12)",0.89
705372011011,1AN1101,ANNIE COLD WAVE ROD TANGERINE (12),0.95
705372011028,1AN1102,ANNIE COLD WAVE ROD SANDY (12),0.89
705372011035,1AN1103,ANNIE COLD WAVE ROD SANDY ORCHID (12),0.85
705372011042,1AN1104,ANNIE COLD WAVE ROD WHITE LONG (12),0.75
705372011059,1AN1105,ANNIE COLD WAVE ROD GREY LONG(12),0.75
705372011066,1AN1106,ANNIE COLD WAVE ROD PINK LONG(12),0.75
705372011073,1AN1107,ANNIE COLD WAVE ROD BLUE LONG 12CT (12),0.65
705372011080,1AN1108,ANNIE COLD WAVE ROD YELLOW LONG 12CT (12),0.59
705372011097,1AN1109,ANNIE COLD WAVE ROD ORCHID SHORT 12CT (12),0.79
705372011103,1AN1110,ANNIE COLD WAVE ROD WHITE SHORT 12CT (12),0.75
705372011110,1AN1111,ANNIE COLD WAVE ROD GRAY SHORT 12CT (12),0.65
705372011127,1AN1112,ANNIE COLD WAVE ROD PINK SHORT 12CT (12),0.65
705372011134,1AN1113,ANNIE COLD WAVE ROD BLUE SHORT 12CT (12),0.59
705372011141,1AN1114,ANNIE COLD WAVE ROD YELLOW SHORT 12CT (12),0.55
705372011158,1AN1115,ANNIE COLD WAVE ROD RED SHORT 12CT (12),0.55
705372011202,1AN1120,ANNIE COLD WAVE ROD GRN X JUMBO(12),1.35
705372011219,1AN1121,ANNIE COLD WAVE ROD BLK X JUMBO(12),1.55
705372011226,1AN1122,ANNIE COLD WAVE ROD BRN  X JUMBO(12),1.75
705372011981,1AN1198,"ANNIE SOFT TWIST ROLLER LAVENDER 7"""" (12)",1.4375
705372011998,1AN1199,"ANNIE SOFT TWIST ROLLER GREEN 7"""" (12)",1.55
705372012001,1AN1200,"ANNIE SOFT TWIST ROLLER YELLOW  7"""" (12)",1.75
705372012018,1AN1201,"ANNIE SOFT TWIST ROLLER RED  7"""" (12)",1.4375
705372012025,1AN1202,"ANNIE SOFT TWIST ROLLER BLUE  7"""" (12)",1.55
705372012032,1AN1203,"ANNIE SOFT TWIST ROLLER ORANGE  7"""" (12)",1.75
705372012049,1AN1204,"ANNIE SOFT TWIST ROLLER GREY  7"""" (12)",1.4375
705372012056,1AN1205,"ANNIE SOFT TWIST ROLLER PURPLE  7"""" (12)",1.55
705372012063,1AN1206,"ANNIE SOFT TWIST ROLLER RED 10"""" (12)",1.75
705372012070,1AN1207,"ANNIE SOFT TWIST ROLLER BLUE 10"""" (12)",1.4375
705372012087,1AN1208,"ANNIE SOFT TWIST ROLLER ORANGE 10"""" (12)",1.55
705372012094,1AN1209,"ANNIE SOFT TWIST ROLLER GREY 10"""" (12)",1.75
705372012100,1AN1210,"ANNIE SOFT TWIST ROLLER PURPLE 10"""" (12)",1.4375
705372012117,1AN1211,"ANNIE SOFT TWIST ROLLER GREEN 10"""" (12)",1.6875
705372012124,1AN1212,"ANNIE SOFT TWIST ROLLER YELLOW 10"""" (12)",1.75
705372012131,1AN1213,"ANNIE SOFT TWIST ROLLER LAVENDER 10"""" (12)",1.4375
705372012155,1AN1215,"ANNIE SOFT TWIST ROLLER DARK GREEN 10"""" (12)",1.55
705372012162,1AN1216,"ANNIE SOFT TWIST ROLLER PLUM 10"""" (12)",1.75
705372012179,1AN1217,"ANNIE SOFT TWIST ROLLER BLUE 10"""" (12)",1.4375
705372012193,1AN1219,"ANNIE SNAP ON MAGNETIC ROLLER PURPLE JB 1 3/4""""",1.55
705372012209,1AN1220,"ANNIE SNAP ON MAGNETIC ROLLER ORANGE JB 1 1/2"""" (12)",1.75
705372012216,1AN1221,"ANNIE SNAP ON MAGNETIC ROLLER PINK XL 1 1/8""""",1.4375
705372012223,1AN1222,"ANNIE SNAP ON MAGNETIC ROLLER GREEN L 1 1/7"""" (12)",1.55
705372012230,1AN1223,"ANNIE SNAP ON MAGNETIC ROLLER YELLOW M 3/4"""" (12)",1.75
705372012247,1AN1224,"ANNIE SNAP ON MAGNETIC ROLLER BLUE S 1/2"""" (12)",1.4375
705372012308,1AN1230,"ANNIE SNAP ON MAGNETIC ROLLER BLK JB 1 1/2""""",1.55
705372012315,1AN1231,"ANNIE SNAP ON MAGNETIC ROLLER BLK XL 1 1/8"""" (12)",1.75
705372012322,1AN1232,"ANNIE SNAP ON MAGNETIC ROLLER BLK L 1 1/7"""" (12)",1.4375
705372012339,1AN1233,"ANNIE SNAP ON MAGNETIC ROLLER BLK M 3/4"""" (12)",1.55
705372012346,1AN1234,"ANNIE SNAP ON MAGNETIC ROLLER BLK S 1/2"""" (12)",1.75
705372012407,1AN1240,ANNIE SILKY SATIN ROLLER (JB),1.45
705372012414,1AN1241,ANNIE SILKY SATIN ROLLER (XL),1.45
705372012421,1AN1242,ANNIE SILKY SATIN ROLLER (L),1.45
705372012438,1AN1243,ANNIE SILKY SATIN ROLLER (M),1.45
705372012445,1AN1244,ANNIE SILKY SATIN ROLLER (S),1.45
705372012469,1AN1246,ANNIE PILLOW SATIN ROLLER (BLK),2.6125
705372012483,1AN1248,ANNIE PILLOW SATIN ROLLER (WHITE),2.0625
705372012513,1AN1251,ANNIE SOFT TWIST ROLLER BLUE CS(12),2.9375
705372012520,1AN1252,ANNIE SOFT TWIST ROLLER ORANGE CS(12),2.9375
705372012537,1AN1253,ANNIE SOFT TWIST ROLLER GRAY CS(12),2.9375
705372012544,1AN1254,ANNIE SOFT TWIST ROLLER PURP CS(12),2.9375
705372012612,1AN1261,"ANNIE SOFT TWIST ROLLER BLUE 10"" 12CT  (12)",3.19
705372012629,1AN1262,"ANNIE SOFT TWIST ROLLER ORANGE 10"" 12CT  (12)",3.19
705372012636,1AN1263,"ANNIE SOFT TWIST ROLLER GREY 10"" 12CT  (12)",3.19
705372012643,1AN1264,"ANNIE SOFT TWIST ROLLER PURP 10"" 12CT  (12)",3.19
705372013091,1AN1309,"ANNIE VELCRO ROLLER GREEN 1/2"""" (12)",1.1
705372013114,1AN1311,"ANNIE VELCRO ROLLER GREEN 3/4"""" (12)",1.1
705372013121,1AN1312,"ANNIE VELCRO ROLLER BLUE 1"""" (12)",1.25
705372013138,1AN1313,"ANNIE VELCRO ROLLER RED 1 1/4"""" (12)",1.25
705372013145,1AN1314,"ANNIE VELCRO ROLLER PINK 1 8/5"""" (12)",1.25
705372013152,1AN1315,"ANNIE VELCRO ROLLER GREEN 2 1/4"""" (12)",1.1
705372013169,1AN1316,"ANNIE VELCRO ROLLER RED 3"""" (12)",1.1
705372013213,1AN1321,"ANNIE SPIRAL RODS LARGE 5/8"""" (12)",2
705372013220,1AN1322,"ANNIE SPIRAL RODS MED 1/2"""" (12)",2
705372013237,1AN1323,"ANNIE SPIRAL RODS SMALL 3/4"""" (12)",2
705372013510,1AN1351,"ANNIE MAG ROLLER BLUE 5/8"""" (12)",1.0625
705372013527,1AN1352,"ANNIE MAG ROLLER ORANGE 3/4"""" (12)",1.0625
705372013534,1AN1353,"ANNIE MAG ROLLER YELLOW 7/8""""",1.0625
705372013541,1AN1354,"ANNIE MAG ROLLER BEIGE 1"""" (12)",1.0625
705372013558,1AN1355,"ANNIE MAG ROLLER AQUA 1 1/4""""",1.1875
705372013565,1AN1356,"ANNIE MAG ROLLER RED 1 1/2""""",1.45
705372013572,1AN1357,"ANNIE MAG ROLLER PURPLE 1 3/4""""""""(12)""""",2.0625
705372013589,1AN1358,"ANNIE MAG ROLLER GREY 2""""(12)",2.0625
705372013596,1AN1359,"ANNIE MAG ROLLER PLUM 3""""(12)",2.0625
705372016016,1AN1601,JOY EYELINER W/CAP BLK (72),1
705372016023,1AN1602,JOY EYELINER W/CAP DARK BRN (48),1
705372016030,1AN1603,JOY EYELINER W/CAP MB (48),1
705372016047,1AN1604,JOY EYELINER W/CAP GOLD (48),1
705372016054,1AN1605,JOY EYELINER W/CAP WHITE (48),1
705372016061,1AN1606,JOY EYELINER W/CAP SILVER (48),1
705372016085,1AN1608,JOY EYELINER W/CAP BLK (48),1
705372016092,1AN1609,JOY EYELINER W/CAP DARK BRN (48),1
705372016108,1AN1610,JOY EYELINER W/CAP MED BRN (48),1
705372016115,1AN1611,JOY EYELINER W/CAP GOLD (48),1
705372016122,1AN1612,JOY EYELINER W/CAP NAVY (48),1
705372016139,1AN1613,JOY EYELINER W/CAP ROY BLUE (48),1
705372016146,1AN1614,JOY EYELINER W/CAP SILVER (48),1
705372016153,1AN1615,JOY EYELINER W/CAP WHITE (48),1
705372016184,1AN1618,JOY EYE & LIP LINER JUMBO#1618 CS(12),1
705372016214,1AN1621,JOY EYE & LIP LINER JUMBO #1621 CS(12),1
705372160504,1AN16050,ANNIE TWIN BEAD PONYTAILER 20MM 10CT WHITE 12),0.62
705372160511,1AN16051,ANNIE TWIN BEAD PONYTAILER 20MM 10CT CLEAR 12),0.62
705372160566,1AN16056,ANNIE TWIN BEAD PONYTAILER 20MM 10CT PINK 12),0.62
705372160641,1AN16064,ANNIE TWIN BEAD PONYTAILER 20MM 10CT ASST COLOR12),0.62
705372160993,1AN16099,ANNIE TWIN BEAD PONYTAILER 40MM 4CT ASST 12),0.62
705372161006,1AN16100,ANNIE TWIN BEAD PONYTAILER 40MM 4CT BLK 12),0.62
705372161013,1AN16101,ANNIE TWIN BEAD PONYTAILER 40MM 4CT WHITE 12),0.62
705372161020,1AN16102,ANNIE TWIN BEAD PONYTAILER 40MM 4CT ASST 12),0.62
705372162904,1AN16290,ANNIE TWIN BEAD PONYTAILER 40MM 4CT ASST 12),0.62
,,,0
705372161310,1AN16131,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT RED 12),0.62
705372161327,1AN16132,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT BLUE 12),0.62
705372161334,1AN16133,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT PUR 12),0.62
705372161341,1AN16134,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT PINK 12),0.62
705372161358,1AN16135,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT ORANGE 12),0.62
705372161365,1AN16136,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT YELLOW 12),0.62
705372161372,1AN16137,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT BROWN 12),0.62
705372161389,1AN16138,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT ASSORT 12),0.62
705372161396,1AN16139,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT ASSORT 12),0.62
705372161402,1AN16140,ANNIE TWIN BEAD PONYTAILER 20MM 10CT TT ASSORT 12),0.62
705372162058,1AN16205,ANNIE TWIN BEAD PONYTAILER 20MM 10CT ASST COLOR12),0.62
705372162089,1AN16208,ANNIE TWIN BEAD PONYTAILER 20MM 10CT ASST COLOR12),0.62
705372162126,1AN16212,ANNIE TWIN BEAD PONYTAILER 20MM 10CT ASST COLOR12),0.62
705372162652,1AN16265,ANNIE TWIN BEAD PONYTAILER 20MM 10CT ASST COLOR12),0.62
